count_start_date,count_end_date,count_type,cases_suspect,cases_probable,cases_confirmed,deaths_suspected,deaths_probable,deaths_confirmed,contacts,zone,province,sitrep_source,is_aggregate
06/06/2026,06/06/2026,Nouveaux,,,18,,,,,Mongbwalu,Ituri,MVE_SitRep_023_2026-06-07,FALSE
06/06/2026,06/06/2026,Nouveaux,,,5,,,,,Rwampara,Ituri,MVE_SitRep_023_2026-06-07,FALSE
06/06/2026,06/06/2026,Nouveaux,,,4,,,,,Bunia,Ituri,MVE_SitRep_023_2026-06-07,FALSE
06/06/2026,06/06/2026,Nouveaux,,,27,,,4,,,Ituri,MVE_SitRep_023_2026-06-07,TRUE
,06/06/2026,Cumules,,,142,,,14,,Bunia,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,98,,,19,,Rwampara,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,92,,,25,,Mongbwalu,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,24,,,1,,Nyankunde,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,5,,,2,,Bambu,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,3,,,1,,Aru,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,4,,,1,,Kilo,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,5,,,0,,Nizi,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,1,,,0,,Mangala,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,3,,,0,,Damas,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,1,,,0,,Aungba,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,1,,,0,,Gety,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,3,,,0,,Komanda,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,4,,,0,,Lita,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,2,,,0,,Logo,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,2,,,1,,Mambasa,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,3,,,0,,Rimba,Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,94,,,10,,Autres ZS (données non ventilées),Ituri,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,487,,,74,,,Ituri,MVE_SitRep_023_2026-06-07,TRUE
,06/06/2026,Cumules,,,11,,,8,,Katwa,Nord-Kivu,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,5,,,3,,Beni,Nord-Kivu,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,4,,,2,,Butembo,Nord-Kivu,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,2,,,2,,Oicha,Nord-Kivu,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,1,,,1,,Kalunguta,Nord-Kivu,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,1,,,0,,Kyondo,Nord-Kivu,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,1,,,0,,Goma,Nord-Kivu,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,25,,,16,,,Nord-Kivu,MVE_SitRep_023_2026-06-07,TRUE
,06/06/2026,Cumules,,,3,,,1,,Miti-Murhesa,Sud-Kivu,MVE_SitRep_023_2026-06-07,FALSE
,06/06/2026,Cumules,,,3,,,1,,,Sud-Kivu,MVE_SitRep_023_2026-06-07,TRUE
,06/06/2026,Cumules,,,515,,,91,,,,MVE_SitRep_023_2026-06-07,TRUE
