nom,date,cumulative_confirmed_deaths
Bunia,2026-05-18,ND
Butembo,2026-05-18,ND
Goma,2026-05-18,ND
Katwa,2026-05-18,ND
Mongbwalu,2026-05-18,ND
Nyankunde,2026-05-18,ND
Rwampara,2026-05-18,ND
Bunia,2026-05-19,ND
Butembo,2026-05-19,ND
Goma,2026-05-19,ND
Katwa,2026-05-19,ND
Mongbwalu,2026-05-19,ND
Nyankunde,2026-05-19,ND
Rwampara,2026-05-19,ND
Bambu,2026-05-20,ND
Bunia,2026-05-20,ND
Butembo,2026-05-20,ND
Echantillons sans fiche,2026-05-20,ND
Goma,2026-05-20,ND
Katwa,2026-05-20,ND
Mongbwalu,2026-05-20,ND
Nyankunde,2026-05-20,ND
Rwampara,2026-05-20,ND
Bambu,2026-05-21,ND
Bunia,2026-05-21,ND
Butembo,2026-05-21,ND
Echantillons sans fiche,2026-05-21,ND
Goma,2026-05-21,ND
Katwa,2026-05-21,ND
Kilo Mission,2026-05-21,ND
Miti Murhesa,2026-05-21,ND
Mongbwalu,2026-05-21,ND
Nizi,2026-05-21,ND
Nyankunde,2026-05-21,ND
Rwampara,2026-05-21,ND
ARU,2026-05-22,ND
Bunia,2026-05-22,ND
Butembo,2026-05-22,ND
Echantillons sans fiche,2026-05-22,ND
Goma,2026-05-22,ND
Katwa,2026-05-22,ND
Kilo,2026-05-22,ND
Miti Murhesa,2026-05-22,ND
Mongbwalu,2026-05-22,ND
Nizi,2026-05-22,ND
Nyankunde,2026-05-22,ND
Rwampara,2026-05-22,ND
Aru,2026-05-23,ND
Bambu,2026-05-23,ND
Bunia,2026-05-23,ND
Butembo,2026-05-23,ND
Echantillons sans fiche,2026-05-23,ND
Goma,2026-05-23,ND
Katwa,2026-05-23,ND
Kilo,2026-05-23,ND
Miti Murhesa,2026-05-23,ND
Mongbwalu,2026-05-23,ND
Nizi,2026-05-23,ND
Nyankunde,2026-05-23,ND
Rwampara,2026-05-23,ND
Aru,2026-05-24,ND
Bambu,2026-05-24,ND
Bunia,2026-05-24,ND
Butembo,2026-05-24,ND
Echantillons sans fiche,2026-05-24,ND
Goma,2026-05-24,ND
Kalunguta,2026-05-24,ND
Karissibi,2026-05-24,ND
Katwa,2026-05-24,ND
Kilo,2026-05-24,ND
Kyondo,2026-05-24,ND
Miti Murhesa,2026-05-24,ND
Mongbwalu,2026-05-24,ND
Nizi,2026-05-24,ND
Nyankunde,2026-05-24,ND
Oicha,2026-05-24,ND
Rwampara,2026-05-24,ND
Aru,2026-05-25,ND
Bambu,2026-05-25,ND
Bunia,2026-05-25,ND
Butembo,2026-05-25,ND
Echantillons sans fiche,2026-05-25,ND
Goma,2026-05-25,ND
Kalunguta,2026-05-25,ND
Karissibi,2026-05-25,ND
Katwa,2026-05-25,ND
Kilo,2026-05-25,ND
Kyondo,2026-05-25,ND
Miti Murhesa,2026-05-25,ND
Mongbwalu,2026-05-25,ND
Nizi,2026-05-25,ND
Nyankunde,2026-05-25,ND
Oicha,2026-05-25,ND
Rwampara,2026-05-25,ND
Aru,2026-05-27,ND
Bambu,2026-05-27,ND
Bunia,2026-05-27,ND
Butembo,2026-05-27,ND
Echantillons sans fiche,2026-05-27,ND
Goma,2026-05-27,ND
Kalunguta,2026-05-27,ND
Katwa,2026-05-27,ND
Kilo,2026-05-27,ND
Kyondo,2026-05-27,ND
Miti Murhesa,2026-05-27,ND
Mongbwalu,2026-05-27,ND
Nizi,2026-05-27,ND
Nyankunde,2026-05-27,ND
Oicha,2026-05-27,ND
Rwampara,2026-05-27,ND
