nom,date,cumulative_suspected_cases
Bunia,2026-05-18,61.0
Butembo,2026-05-18,1.0
Goma,2026-05-18,1.0
Katwa,2026-05-18,1.0
Mongbwalu,2026-05-18,302.0
Nyankunde,2026-05-18,14.0
Rwampara,2026-05-18,136.0
Bunia,2026-05-19,90.0
Butembo,2026-05-19,1.0
Goma,2026-05-19,1.0
Katwa,2026-05-19,1.0
Mongbwalu,2026-05-19,309.0
Nyankunde,2026-05-19,19.0
Rwampara,2026-05-19,154.0
Bambu,2026-05-20,2.0
Bunia,2026-05-20,125.0
Butembo,2026-05-20,7.0
Echantillons sans fiche,2026-05-20,0.0
Goma,2026-05-20,0.0
Katwa,2026-05-20,13.0
Mongbwalu,2026-05-20,317.0
Nyankunde,2026-05-20,28.0
Rwampara,2026-05-20,179.0
Bambu,2026-05-21,2.0
Bunia,2026-05-21,166.0
Butembo,2026-05-21,7.0
Echantillons sans fiche,2026-05-21,0.0
Goma,2026-05-21,0.0
Katwa,2026-05-21,13.0
Kilo Mission,2026-05-21,1.0
Miti Murhesa,2026-05-21,1.0
Mongbwalu,2026-05-21,322.0
Nizi,2026-05-21,3.0
Nyankunde,2026-05-21,38.0
Rwampara,2026-05-21,193.0
ARU,2026-05-22,3.0
Bunia,2026-05-22,227.0
Butembo,2026-05-22,7.0
Echantillons sans fiche,2026-05-22,0.0
Goma,2026-05-22,ND
Katwa,2026-05-22,13.0
Kilo,2026-05-22,6.0
Miti Murhesa,2026-05-22,1.0
Mongbwalu,2026-05-22,339.0
Nizi,2026-05-22,5.0
Nyankunde,2026-05-22,45.0
Rwampara,2026-05-22,221.0
Aru,2026-05-23,4.0
Bambu,2026-05-23,6.0
Bunia,2026-05-23,249.0
Butembo,2026-05-23,7.0
Echantillons sans fiche,2026-05-23,0.0
Goma,2026-05-23,0.0
Katwa,2026-05-23,13.0
Kilo,2026-05-23,6.0
Miti Murhesa,2026-05-23,1.0
Mongbwalu,2026-05-23,339.0
Nizi,2026-05-23,6.0
Nyankunde,2026-05-23,45.0
Rwampara,2026-05-23,228.0
Aru,2026-05-24,4.0
Bambu,2026-05-24,6.0
Bunia,2026-05-24,249.0
Butembo,2026-05-24,7.0
Echantillons sans fiche,2026-05-24,0.0
Goma,2026-05-24,0.0
Kalunguta,2026-05-24,ND
Karissibi,2026-05-24,0.0
Katwa,2026-05-24,13.0
Kilo,2026-05-24,8.0
Kyondo,2026-05-24,0.0
Miti Murhesa,2026-05-24,1.0
Mongbwalu,2026-05-24,339.0
Nizi,2026-05-24,6.0
Nyankunde,2026-05-24,45.0
Oicha,2026-05-24,ND
Rwampara,2026-05-24,228.0
Aru,2026-05-25,4
Bambu,2026-05-25,6
Bunia,2026-05-25,270
Butembo,2026-05-25,7
Echantillons sans fiche,2026-05-25,0
Goma,2026-05-25,0
Kalunguta,2026-05-25,0
Karissibi,2026-05-25,ND
Katwa,2026-05-25,13
Kilo,2026-05-25,18
Kyondo,2026-05-25,ND
Miti Murhesa,2026-05-25,1
Mongbwalu,2026-05-25,364
Nizi,2026-05-25,9
Nyankunde,2026-05-25,66
Oicha,2026-05-25,ND
Rwampara,2026-05-25,240
Aru,2026-05-27,4
Bambu,2026-05-27,6
Bunia,2026-05-27,249
Butembo,2026-05-27,7
Echantillons sans fiche,2026-05-27,0
Goma,2026-05-27,0
Kalunguta,2026-05-27,13
Katwa,2026-05-27,0
Kilo,2026-05-27,8
Kyondo,2026-05-27,0
Miti Murhesa,2026-05-27,1
Mongbwalu,2026-05-27,339
Nizi,2026-05-27,6
Nyankunde,2026-05-27,45
Oicha,2026-05-27,0
Rwampara,2026-05-27,228
Aru,2026-05-29,ND
Aungba,2026-05-29,ND
Bambu,2026-05-29,ND
Beni,2026-05-29,ND
Bunia,2026-05-29,ND
Butembo,2026-05-29,ND
Damas,2026-05-29,ND
Gety,2026-05-29,ND
Goma,2026-05-29,ND
Kalunguta,2026-05-29,ND
Karisimbi,2026-05-29,ND
Katwa,2026-05-29,ND
Kilo,2026-05-29,ND
Komanda,2026-05-29,ND
Kyondo,2026-05-29,ND
Lita,2026-05-29,ND
Mangala,2026-05-29,ND
Manguripa,2026-05-29,ND
Miti Murhesa,2026-05-29,ND
Mongbwalu,2026-05-29,ND
Nizi,2026-05-29,ND
Nyankunde,2026-05-29,ND
Oicha,2026-05-29,ND
Rwampara,2026-05-29,ND
Sans fiche,2026-05-29,ND
ZS non identifiée,2026-05-29,ND
Aru,2026-06-01,ND
Aungba,2026-06-01,ND
Autres ZS (données non ventilées),2026-06-01,ND
Bambu,2026-06-01,ND
Beni,2026-06-01,ND
Bunia,2026-06-01,ND
Butembo,2026-06-01,ND
Damas,2026-06-01,ND
Gety,2026-06-01,ND
Goma,2026-06-01,ND
Kalunguta,2026-06-01,ND
Katwa,2026-06-01,ND
Kilo,2026-06-01,ND
Komanda,2026-06-01,ND
Kyondo,2026-06-01,ND
Lita,2026-06-01,ND
Logo,2026-06-01,ND
Mambasa,2026-06-01,ND
Mangala,2026-06-01,ND
Miti-Murhesa,2026-06-01,ND
Mongbwalu,2026-06-01,ND
Nizi,2026-06-01,ND
Nyankunde,2026-06-01,ND
Oicha,2026-06-01,ND
Rwampara,2026-06-01,ND
Aru,2026-06-02,ND
Aungba,2026-06-02,ND
Autres ZS (données non ventilées),2026-06-02,ND
Bambu,2026-06-02,ND
Beni,2026-06-02,ND
Bunia,2026-06-02,ND
Butembo,2026-06-02,ND
Damas,2026-06-02,ND
Gety,2026-06-02,ND
Goma,2026-06-02,ND
Kalunguta,2026-06-02,ND
Katwa,2026-06-02,ND
Kilo,2026-06-02,ND
Komanda,2026-06-02,ND
Kyondo,2026-06-02,ND
Lita,2026-06-02,ND
Logo,2026-06-02,ND
Mambasa,2026-06-02,ND
Mangala,2026-06-02,ND
Miti-Murhesa,2026-06-02,ND
Mongbwalu,2026-06-02,ND
Nizi,2026-06-02,ND
Nyankunde,2026-06-02,ND
Oicha,2026-06-02,ND
Rimba,2026-06-02,ND
Rwampara,2026-06-02,ND
Aru,2026-06-03,ND
Aungba,2026-06-03,ND
Autres ZS (non ventilées),2026-06-03,ND
Bambu,2026-06-03,ND
Beni,2026-06-03,ND
Bunia,2026-06-03,ND
Butembo,2026-06-03,ND
