nom,date,hospitalised
Bunia,2026-05-20,40
Mongbwalu,2026-05-20,30
Nyankunde,2026-05-20,16
Rwampara,2026-05-20,54
Bunia,2026-05-21,50
Mongbwalu,2026-05-21,36
Nyankunde,2026-05-21,23
Rwampara,2026-05-21,42
Bunia,2026-05-22,44
Mongbwalu,2026-05-22,34
Nyankunde,2026-05-22,24
Rwampara,2026-05-22,45
Total,2026-05-22,147
Aru,2026-05-23,2
Bunia,2026-05-23,50
Mongbwalu,2026-05-23,31
Nyankunde,2026-05-23,33
Rwampara,2026-05-23,25
Aru,2026-05-24,2
Bambu,2026-05-24,2
Bunia,2026-05-24,53
Mongbwalu,2026-05-24,18
Nyankunde,2026-05-24,33
Rwampara,2026-05-24,25
Bambu,2026-05-27,9
Bunia,2026-05-27,12
CME,2026-05-27,26
CT Heal Africa (Nord-Kivu),2026-05-27,0
Mongbwalu,2026-05-27,9
Nyakunde,2026-05-27,38
Rwampara,2026-05-27,9
Bambu,2026-05-28,9
Bunia,2026-05-28,12
CME,2026-05-28,26
Heal Africa (Nord-Kivu),2026-05-28,0
Mongbwalu,2026-05-28,9
Nyakunde,2026-05-28,38
Rwampara,2026-05-28,9
