nom,date,in_bed_previous_day
Bunia,2026-05-20,28
Mongbwalu,2026-05-20,21
Nyankunde,2026-05-20,15
Rwampara,2026-05-20,37
Bunia,2026-05-21,36
Mongbwalu,2026-05-21,27
Nyankunde,2026-05-21,16
Rwampara,2026-05-21,36
Bunia,2026-05-22,33
Mongbwalu,2026-05-22,30
Nyankunde,2026-05-22,22
Rwampara,2026-05-22,34
Total,2026-05-22,119
Aru,2026-05-23,2
Bunia,2026-05-23,41
Mongbwalu,2026-05-23,28
Nyankunde,2026-05-23,26
Rwampara,2026-05-23,21
Aru,2026-05-24,2
Bambu,2026-05-24,2
Bunia,2026-05-24,44
Mongbwalu,2026-05-24,13
Nyankunde,2026-05-24,33
Rwampara,2026-05-24,19
Bambu,2026-05-27,6
Bunia,2026-05-27,14
CME,2026-05-27,22
CT Heal Africa (Nord-Kivu),2026-05-27,2
Mongbwalu,2026-05-27,10
Nyakunde,2026-05-27,39
Rwampara,2026-05-27,8
Bambu,2026-05-28,6
Bunia,2026-05-28,14
CME,2026-05-28,22
Heal Africa (Nord-Kivu),2026-05-28,2
Mongbwalu,2026-05-28,10
Nyakunde,2026-05-28,39
Rwampara,2026-05-28,8
