nom,date,national_cumulative_confirmed_cases
National,2026-05-18,33
National,2026-05-19,51
National,2026-05-20,61
National,2026-05-21,83
National,2026-05-22,91
National,2026-05-23,101
National,2026-05-24,105
National,2026-05-25,106
National,2026-05-26,121
National,2026-05-27,125
National,2026-05-28,210
National,2026-05-29,263
National,2026-05-30,282
National,2026-06-01,344
National,2026-06-02,363
National,2026-06-03,381
National,2026-06-04,452
National,2026-06-05,488
National,2026-06-06,515
National,2026-06-07,550
