nom,date,national_cumulative_confirmed_deaths
National,2026-05-18,ND
National,2026-05-19,ND
National,2026-05-20,ND
National,2026-05-21,ND
National,2026-05-22,ND
National,2026-05-23,ND
National,2026-05-24,ND
National,2026-05-25,12
National,2026-05-26,17
National,2026-05-27,17
National,2026-05-28,17
National,2026-05-29,42
National,2026-05-30,42
National,2026-06-01,60
National,2026-06-02,62
National,2026-06-03,64
National,2026-06-04,82
National,2026-06-05,86
National,2026-06-06,91
National,2026-06-07,101
