nom,date,national_cumulative_suspected_deaths
National,2026-05-18,131.0
National,2026-05-19,148.0
National,2026-05-20,160.0
National,2026-05-21,ND
National,2026-05-22,ND
National,2026-05-23,119.0
National,2026-05-24,223.0
National,2026-05-25,238
National,2026-05-26,238
National,2026-05-27,223
National,2026-05-28,ND
National,2026-05-29,ND
National,2026-05-30,ND
National,2026-06-01,ND
National,2026-06-02,ND
National,2026-06-03,ND
National,2026-06-04,ND
National,2026-06-05,ND
National,2026-06-06,ND
National,2026-06-07,ND
