nom,date,new_confirmed_cases
Bambu,2026-05-12,0
Bunia,2026-05-12,6
Butembo,2026-05-12,0
Goma,2026-05-12,0
Katwa,2026-05-12,0
Kilo,2026-05-12,1
Miti Murhesa,2026-05-12,1
Mongbwalu,2026-05-12,1
Nizi,2026-05-12,1
Nyankunde,2026-05-12,2
Rwampara,2026-05-12,7
Bunia,2026-05-20,0
Butembo,2026-05-20,0
Goma,2026-05-20,0
Katwa,2026-05-20,0
Mongbwalu,2026-05-20,12
Nyankunde,2026-05-20,0
Rwampara,2026-05-20,4
Bambu,2026-05-21,1
Bunia,2026-05-21,5
Butembo,2026-05-21,0
Goma,2026-05-21,0
Katwa,2026-05-21,1
Mongbwalu,2026-05-21,0
Nyankunde,2026-05-21,3
Rwampara,2026-05-21,3
Bambu,2026-05-22,0
Bunia,2026-05-22,6
Butembo,2026-05-22,0
Goma,2026-05-22,0
Katwa,2026-05-22,0
Kilo,2026-05-22,1
Miti Murhesa,2026-05-22,1
Mongbwalu,2026-05-22,1
Nizi,2026-05-22,1
Nyankunde,2026-05-22,2
Rwampara,2026-05-22,7
Bambu,2026-05-23,0
Bunia,2026-05-23,0
Butembo,2026-05-23,0
Goma,2026-05-23,0
Katwa,2026-05-23,1
Kilo,2026-05-23,0
Miti Murhesa,2026-05-23,0
Mongbwalu,2026-05-23,9
Nizi,2026-05-23,0
Nyankunde,2026-05-23,0
Rwampara,2026-05-23,0
Aru,2026-05-24,0
Bunia,2026-05-24,0
Butembo,2026-05-24,2
Goma,2026-05-24,0
Kalunguta,2026-05-24,1
Katwa,2026-05-24,0
Kilo,2026-05-24,0
Miti Murhesa,2026-05-24,0
Mongbwalu,2026-05-24,0
Nizi,2026-05-24,0
Nyankunde,2026-05-24,0
Oicha,2026-05-24,1
Rwampara,2026-05-24,0
Aru,2026-05-29,0
Aungba,2026-05-29,0
Bambu,2026-05-29,0
Bunia,2026-05-29,21
Damas,2026-05-29,0
Gety,2026-05-29,ND
Jiba,2026-05-29,ND
Kilo,2026-05-29,0
Lita,2026-05-29,1
Mangala,2026-05-29,0
Miti Murhesa,2026-05-29,2
Mongbwalu,2026-05-29,8
Nizi,2026-05-29,0
Nyankunde,2026-05-29,2
Rwampara,2026-05-29,12
Sans fiche,2026-05-29,8
ZS non identifiée,2026-05-29,0
Bunia,2026-05-31,4
Logo,2026-05-31,1
Nizi,2026-05-31,1
Nyankunde,2026-05-31,1
Rwampara,2026-05-31,5
Bunia,2026-06-01,6
Bunia,2026-06-01,6
Komanda,2026-06-01,1
Komanda,2026-06-01,1
Mambasa,2026-06-01,2
Mambasa,2026-06-01,2
Mongbwalu,2026-06-01,11
Mongbwalu,2026-06-01,11
Rwampara,2026-06-01,3
Rwampara,2026-06-01,3
Bunia,2026-06-02,5
Damas,2026-06-02,1
Nyankunde,2026-06-02,3
Rimba,2026-06-02,3
Rwampara,2026-06-02,7
Bunia,2026-06-03,12
Damas,2026-06-03,1
Lita,2026-06-03,1
Rwampara,2026-06-03,4
Bunia,2026-06-05,15
Kilo,2026-06-05,1
Lita,2026-06-05,1
Mongbwalu,2026-06-05,10
Nyankunde,2026-06-05,2
Rwampara,2026-06-05,7
Bunia,2026-06-06,4
Mongbwalu,2026-06-06,18
Rwampara,2026-06-06,5
Beni,2026-06-07,4
Bunia,2026-06-07,10
Mongbwalu,2026-06-07,6
Nyankunde,2026-06-07,2
Rwampara,2026-06-07,13
Aungba,2026-06-08,1
Bunia,2026-06-08,11
Butembo,2026-06-08,2
Katwa,2026-06-08,1
Mongbwalu,2026-06-08,16
Nyankunde,2026-06-08,6
Rwampara,2026-06-08,11
