nom,date,new_all_admissions
Bunia,2026-05-20,12
Mongbwalu,2026-05-20,9
Nyankunde,2026-05-20,1
Rwampara,2026-05-20,17
Bunia,2026-05-21,14
Mongbwalu,2026-05-21,9
Nyankunde,2026-05-21,7
Rwampara,2026-05-21,6
Bunia,2026-05-22,11
Mongbwalu,2026-05-22,4
Nyankunde,2026-05-22,2
Rwampara,2026-05-22,11
Total,2026-05-22,28
Aru,2026-05-23,2
Bunia,2026-05-23,9
Mongbwalu,2026-05-23,3
Nyankunde,2026-05-23,7
Rwampara,2026-05-23,4
Aru,2026-05-24,0
Bambu,2026-05-24,0
Bunia,2026-05-24,9
Mongbwalu,2026-05-24,5
Nyankunde,2026-05-24,0
Rwampara,2026-05-24,6
Bambu,2026-05-27,ND
Bunia,2026-05-27,ND
CME,2026-05-27,ND
CT Heal Africa (Nord-Kivu),2026-05-27,ND
Mongbwalu,2026-05-27,ND
Nyakunde,2026-05-27,ND
Rwampara,2026-05-27,ND
Bambu,2026-05-28,ND
Bunia,2026-05-28,ND
CME,2026-05-28,ND
Heal Africa (Nord-Kivu),2026-05-28,ND
Mongbwalu,2026-05-28,ND
Nyakunde,2026-05-28,ND
Rwampara,2026-05-28,ND
Aru,2026-05-29,ND
Bambu,2026-05-29,ND
Bunia,2026-05-29,ND
CME,2026-05-29,ND
Mongbwalu,2026-05-29,ND
Nyankunde,2026-05-29,ND
Rwampara,2026-05-29,ND
Total,2026-05-29,ND
Aru,2026-05-30,ND
Bambu,2026-05-30,ND
Bunia,2026-05-30,ND
CME,2026-05-30,ND
Mongbwalu,2026-05-30,ND
Nyankunde,2026-05-30,ND
Rwampara,2026-05-30,ND
Total,2026-05-30,ND
Aru,2026-05-31,ND
Bambu,2026-05-31,ND
Bunia,2026-05-31,ND
CME,2026-05-31,ND
Mongbwalu,2026-05-31,ND
Nyankunde,2026-05-31,ND
Rwampara,2026-05-31,ND
Total,2026-05-31,ND
Ensemble,2026-06-01,22
Ituri,2026-06-01,21
Nord-Kivu,2026-06-01,0
Sud-Kivu,2026-06-01,1
Ensemble,2026-06-02,30
Ituri,2026-06-02,28
Nord-Kivu,2026-06-02,1
Sud-Kivu,2026-06-02,1
Ensemble,2026-06-03,48
Ituri,2026-06-03,47
Nord-Kivu,2026-06-03,1
Sud-Kivu,2026-06-03,0
Ensemble,2026-06-04,62
Ituri,2026-06-04,61
Nord-Kivu,2026-06-04,1
Sud-Kivu,2026-06-04,0
Ensemble,2026-06-05,38
Ituri,2026-06-05,37
Nord-Kivu,2026-06-05,1
Sud-Kivu,2026-06-05,0
Ensemble,2026-06-06,30
Ituri,2026-06-06,29
Nord-Kivu,2026-06-06,1
Sud-Kivu,2026-06-06,0
Ensemble,2026-06-07,61
Ituri,2026-06-07,55
Nord-Kivu,2026-06-07,6
Sud-Kivu,2026-06-07,0
Ensemble,2026-06-08,34
Ituri,2026-06-08,27
Nord-Kivu,2026-06-08,7
Sud-Kivu,2026-06-08,0
