nom,date,new_suspected_cases
Bambu,2026-05-12,0.0
Bunia,2026-05-12,41.0
Butembo,2026-05-12,ND
Goma,2026-05-12,ND
Katwa,2026-05-12,ND
Kilo,2026-05-12,1.0
Miti Murhesa,2026-05-12,ND
Mongbwalu,2026-05-12,5.0
Nizi,2026-05-12,1.0
Nyankunde,2026-05-12,9.0
Rwampara,2026-05-12,14.0
Bunia,2026-05-20,29.0
Butembo,2026-05-20,ND
Goma,2026-05-20,ND
Katwa,2026-05-20,ND
Mongbwalu,2026-05-20,7.0
Nyankunde,2026-05-20,5.0
Rwampara,2026-05-20,18.0
Bambu,2026-05-21,1.0
Bunia,2026-05-21,35.0
Butembo,2026-05-21,ND
Goma,2026-05-21,ND
Katwa,2026-05-21,ND
Mongbwalu,2026-05-21,8.0
Nyankunde,2026-05-21,9.0
Rwampara,2026-05-21,25.0
Bambu,2026-05-22,2.0
Bunia,2026-05-22,32.0
Butembo,2026-05-22,ND
Goma,2026-05-22,ND
Katwa,2026-05-22,ND
Kilo,2026-05-22,1.0
Miti Murhesa,2026-05-22,ND
Mongbwalu,2026-05-22,10.0
Nizi,2026-05-22,1.0
Nyankunde,2026-05-22,9.0
Rwampara,2026-05-22,14.0
Bambu,2026-05-23,ND
Bunia,2026-05-23,22.0
Butembo,2026-05-23,ND
Goma,2026-05-23,ND
Katwa,2026-05-23,ND
Kilo,2026-05-23,8.0
Miti Murhesa,2026-05-23,ND
Mongbwalu,2026-05-23,ND
Nizi,2026-05-23,0.0
Nyankunde,2026-05-23,ND
Rwampara,2026-05-23,3.0
Aru,2026-05-24,ND
Bunia,2026-05-24,ND
Butembo,2026-05-24,ND
Goma,2026-05-24,ND
Kalunguta,2026-05-24,ND
Katwa,2026-05-24,ND
Kilo,2026-05-24,1.0
Miti Murhesa,2026-05-24,ND
Mongbwalu,2026-05-24,ND
Nizi,2026-05-24,1.0
Nyankunde,2026-05-24,ND
Oicha,2026-05-24,ND
Rwampara,2026-05-24,ND
