nom,date,new_suspected_deaths
Bambu,2026-05-12,ND
Bunia,2026-05-12,ND
Butembo,2026-05-12,ND
Goma,2026-05-12,ND
Katwa,2026-05-12,ND
Kilo,2026-05-12,ND
Miti Murhesa,2026-05-12,ND
Mongbwalu,2026-05-12,ND
Nizi,2026-05-12,ND
Nyankunde,2026-05-12,ND
Rwampara,2026-05-12,ND
Bunia,2026-05-20,ND
Butembo,2026-05-20,ND
Goma,2026-05-20,ND
Katwa,2026-05-20,ND
Mongbwalu,2026-05-20,ND
Nyankunde,2026-05-20,ND
Rwampara,2026-05-20,ND
Bambu,2026-05-21,ND
Bunia,2026-05-21,ND
Butembo,2026-05-21,ND
Goma,2026-05-21,ND
Katwa,2026-05-21,ND
Mongbwalu,2026-05-21,ND
Nyankunde,2026-05-21,ND
Rwampara,2026-05-21,ND
Bambu,2026-05-22,ND
Bunia,2026-05-22,ND
Butembo,2026-05-22,ND
Goma,2026-05-22,ND
Katwa,2026-05-22,ND
Kilo,2026-05-22,ND
Miti Murhesa,2026-05-22,ND
Mongbwalu,2026-05-22,ND
Nizi,2026-05-22,ND
Nyankunde,2026-05-22,ND
Rwampara,2026-05-22,ND
Bambu,2026-05-23,ND
Bunia,2026-05-23,ND
Butembo,2026-05-23,ND
Goma,2026-05-23,ND
Katwa,2026-05-23,ND
Kilo,2026-05-23,ND
Miti Murhesa,2026-05-23,ND
Mongbwalu,2026-05-23,ND
Nizi,2026-05-23,ND
Nyankunde,2026-05-23,ND
Rwampara,2026-05-23,ND
Aru,2026-05-24,ND
Bunia,2026-05-24,ND
Butembo,2026-05-24,ND
Goma,2026-05-24,ND
Kalunguta,2026-05-24,ND
Katwa,2026-05-24,ND
Kilo,2026-05-24,ND
Miti Murhesa,2026-05-24,ND
Mongbwalu,2026-05-24,ND
Nizi,2026-05-24,ND
Nyankunde,2026-05-24,ND
Oicha,2026-05-24,ND
Rwampara,2026-05-24,ND
Aru,2026-05-29,ND
Aungba,2026-05-29,ND
Bambu,2026-05-29,1
Bunia,2026-05-29,9
Damas,2026-05-29,0
Gety,2026-05-29,0
Jiba,2026-05-29,0
Kilo,2026-05-29,ND
Lita,2026-05-29,ND
Mangala,2026-05-29,ND
Miti Murhesa,2026-05-29,ND
Mongbwalu,2026-05-29,0
Nizi,2026-05-29,ND
Nyankunde,2026-05-29,1
Rwampara,2026-05-29,2
Sans fiche,2026-05-29,ND
ZS non identifiée,2026-05-29,ND
Bunia,2026-05-31,ND
Logo,2026-05-31,ND
Nizi,2026-05-31,ND
Nyankunde,2026-05-31,ND
Rwampara,2026-05-31,ND
Bunia,2026-06-01,ND
Bunia,2026-06-01,ND
Komanda,2026-06-01,ND
Komanda,2026-06-01,ND
Mambasa,2026-06-01,ND
Mambasa,2026-06-01,ND
Mongbwalu,2026-06-01,ND
Mongbwalu,2026-06-01,ND
Rwampara,2026-06-01,ND
Rwampara,2026-06-01,ND
Bunia,2026-06-02,ND
Damas,2026-06-02,ND
Nyankunde,2026-06-02,ND
Rimba,2026-06-02,ND
Rwampara,2026-06-02,ND
Bunia,2026-06-03,ND
Damas,2026-06-03,ND
Lita,2026-06-03,ND
Rwampara,2026-06-03,ND
Bunia,2026-06-05,ND
Kilo,2026-06-05,ND
Lita,2026-06-05,ND
Mongbwalu,2026-06-05,ND
Nyankunde,2026-06-05,ND
Rwampara,2026-06-05,ND
Bunia,2026-06-06,ND
Mongbwalu,2026-06-06,ND
Rwampara,2026-06-06,ND
