nom,date,cumulative_contacts_traced
Bunia,2026-05-18,127.0
Butembo,2026-05-18,ND
Goma,2026-05-18,ND
Katwa,2026-05-18,ND
Mongbwalu,2026-05-18,161.0
Nyankunde,2026-05-18,133.0
Rwampara,2026-05-18,120.0
Bunia,2026-05-19,203.0
Butembo,2026-05-19,ND
Goma,2026-05-19,ND
Katwa,2026-05-19,ND
Mongbwalu,2026-05-19,176.0
Nyankunde,2026-05-19,133.0
Rwampara,2026-05-19,335.0
Bambu,2026-05-20,128.0
Bunia,2026-05-20,203.0
Butembo,2026-05-20,ND
Echantillons sans fiche,2026-05-20,0.0
Goma,2026-05-20,ND
Katwa,2026-05-20,ND
Mongbwalu,2026-05-20,176.0
Nyankunde,2026-05-20,133.0
Rwampara,2026-05-20,621.0
Bambu,2026-05-21,176.0
Bunia,2026-05-21,290.0
Butembo,2026-05-21,ND
Echantillons sans fiche,2026-05-21,0.0
Goma,2026-05-21,ND
Katwa,2026-05-21,ND
Kilo Mission,2026-05-21,ND
Miti Murhesa,2026-05-21,ND
Mongbwalu,2026-05-21,176.0
Nizi,2026-05-21,ND
Nyankunde,2026-05-21,340.0
Rwampara,2026-05-21,621.0
ARU,2026-05-22,0.0
Bunia,2026-05-22,290.0
Butembo,2026-05-22,ND
Echantillons sans fiche,2026-05-22,0.0
Goma,2026-05-22,ND
Katwa,2026-05-22,ND
Kilo,2026-05-22,176.0
Miti Murhesa,2026-05-22,ND
Mongbwalu,2026-05-22,222.0
Nizi,2026-05-22,0.0
Nyankunde,2026-05-22,365.0
Rwampara,2026-05-22,621.0
Aru,2026-05-23,0.0
Bambu,2026-05-23,183.0
Bunia,2026-05-23,404.0
Butembo,2026-05-23,ND
Echantillons sans fiche,2026-05-23,0.0
Goma,2026-05-23,ND
Katwa,2026-05-23,ND
Kilo,2026-05-23,0.0
Miti Murhesa,2026-05-23,ND
Mongbwalu,2026-05-23,222.0
Nizi,2026-05-23,22.0
Nyankunde,2026-05-23,365.0
Rwampara,2026-05-23,621.0
Aru,2026-05-24,0.0
Bambu,2026-05-24,183.0
Bunia,2026-05-24,404.0
Butembo,2026-05-24,22.0
Echantillons sans fiche,2026-05-24,0.0
Goma,2026-05-24,28.0
Kalunguta,2026-05-24,ND
Karissibi,2026-05-24,249.0
Katwa,2026-05-24,99.0
Kilo,2026-05-24,0.0
Kyondo,2026-05-24,16.0
Miti Murhesa,2026-05-24,ND
Mongbwalu,2026-05-24,222.0
Nizi,2026-05-24,22.0
Nyankunde,2026-05-24,365.0
Oicha,2026-05-24,ND
Rwampara,2026-05-24,621.0
Aru,2026-05-25,0
Bambu,2026-05-25,183
Bunia,2026-05-25,404
Butembo,2026-05-25,22
Echantillons sans fiche,2026-05-25,0
Goma,2026-05-25,28
Kalunguta,2026-05-25,0
Karissibi,2026-05-25,249
Katwa,2026-05-25,99
Kilo,2026-05-25,0
Kyondo,2026-05-25,16
Miti Murhesa,2026-05-25,ND
Mongbwalu,2026-05-25,222
Nizi,2026-05-25,22
Nyankunde,2026-05-25,365
Oicha,2026-05-25,0
Rwampara,2026-05-25,621
Aru,2026-05-27,0
Bambu,2026-05-27,244
Bunia,2026-05-27,404
Butembo,2026-05-27,28
Echantillons sans fiche,2026-05-27,0
Goma,2026-05-27,74
Kalunguta,2026-05-27,ND
Katwa,2026-05-27,111
Kilo,2026-05-27,41
Kyondo,2026-05-27,16
Miti Murhesa,2026-05-27,ND
Mongbwalu,2026-05-27,222
Nizi,2026-05-27,220
Nyankunde,2026-05-27,397
Oicha,2026-05-27,ND
Rwampara,2026-05-27,697
