data_date,province,sitrep_source,contacts_listed,contacts_followed,pct_followed
2026-06-02,Ituri,MVE_SitRep_018_2026-06-02,3350,1317,39.3
2026-06-02,Nord-Kivu,MVE_SitRep_018_2026-06-02,510,301,59.0
2026-06-02,Sud-Kivu,MVE_SitRep_018_2026-06-02,150,142,95.0
2026-06-02,Ituri,MVE_SitRep_019_2026-06-03,3637,1498,41.2
2026-06-02,Nord-Kivu,MVE_SitRep_019_2026-06-03,519,326,62.8
2026-06-02,Sud-Kivu,MVE_SitRep_019_2026-06-03,137,131,95.6
2026-06-03,Ituri,MVE_SitRep_020_2026-06-04,3837,2032,53.0
2026-06-03,Nord-Kivu,MVE_SitRep_020_2026-06-04,533,343,64.4
2026-06-03,Sud-Kivu,MVE_SitRep_020_2026-06-04,181,150,82.9
2026-06-04,Ituri,MVE_SitRep_021_2026-06-05,3997,2181,54.6
2026-06-04,Nord-Kivu,MVE_SitRep_021_2026-06-05,589,424,72.0
2026-06-04,Sud-Kivu,MVE_SitRep_021_2026-06-05,180,150,83.3
2026-06-04,Total,MVE_SitRep_021_2026-06-05,4766,2755,57.8
2026-06-05,Ituri,MVE_SitRep_022_2026-06-06,4281,2701,63.1
2026-06-05,Nord-Kivu,MVE_SitRep_022_2026-06-06,689,578,83.9
2026-06-05,Sud-Kivu,MVE_SitRep_022_2026-06-06,187,184,98.4
2026-06-06,Ituri,MVE_SitRep_023_2026-06-07,4118,1779,43.2
2026-06-06,Nord-Kivu,MVE_SitRep_023_2026-06-07,699,577,82.5
2026-06-06,Sud-Kivu,MVE_SitRep_023_2026-06-07,223,179,80.3
2026-06-07,Ituri,MVE_SitRep_024_2026-06-08,4454,2678,60.1
2026-06-07,Nord-Kivu,MVE_SitRep_024_2026-06-08,738,587,79.5
2026-06-07,Sud-Kivu,MVE_SitRep_024_2026-06-08,226,224,99.1
2026-06-08,Ituri,MVE_SitRep_025_2026-06-09,4752,2487,52.3
2026-06-08,Nord-Kivu,MVE_SitRep_025_2026-06-09,703,533,75.8
2026-06-08,Sud-Kivu,MVE_SitRep_025_2026-06-09,226,181,80.1
