date,sitrep_source,total_passed,total_screened,total_handwashing,total_sensitised,contacts_listed,alerts_raised
20/05/2026,MVE_SitRep_006_2026-05-21,1881,1881,1881,1881,,0
21/05/2026,MVE_SitRep_007_2026-05-22,2543,2543,2543,2543,,0
22/05/2026,MVE_SitRep_008_2026-05-23,7571,7210,6903,7571,,0
23/05/2026,MVE_SitRep_009_2026-05-24,8522,8214,8103,8522,,0
24/05/2026,MVE_SitRep_010_2026-05-25,11628,11143,11413,11628,0,0
25/05/2026,MVE_SitRep_011_2026-05-27,13221,13075,12005,13075,0,0
26/05/2026,MVE_SitRep_012_2026-05-27_v2,15504,15504,9440,15242,0,0
27/05/2026,MVE_SitRep_013_2026-05-28,14662,14530,14314,14530,0,0
28/05/2026,MVE_SitRep_014_2026-05-30,16905,16704,16674,16704,0,2
29/05/2026,MVE_SitRep_015_2026-05-29,18239,18010,16936,17968,0,0
30/05/2026,MVE_SitRep_016_2026-05-30,13960,13187,13187,13960,0,0
31/05/2026,MVE_SitRep_017_2026-06-01,14057,13901,13901,13963,0,1
01/06/2026,MVE_SitRep_018_2026-06-02,18153,17900,17192,17442,1,1
05/06/2026,MVE_SitRep_022_2026-06-06,22547,,,,0,3
06/06/2026,MVE_SitRep_023_2026-06-07,14378,,,,,5
07/06/2026,MVE_SitRep_024_2026-06-08,15951,,,,0,3
08/06/2026,MVE_SitRep_025_2026-06-09,23467,,,,0,5
