date,zone,province,sitrep_source,in_bed_previous_day,new_admissions_ppl,new_admissions_other,total_admissions,total_isolated,cumulative_admitted
20/05/2026,Bunia,,MVE_SitRep_006_2026-05-21,28,0,12,12,40,
20/05/2026,Rwampara,,MVE_SitRep_006_2026-05-21,37,5,12,17,54,
20/05/2026,Mongbwalu,,MVE_SitRep_006_2026-05-21,21,0,9,9,30,
20/05/2026,Nyankunde,,MVE_SitRep_006_2026-05-21,15,1,0,1,16,
21/05/2026,Bunia,,MVE_SitRep_007_2026-05-22,36,1,13,14,50,
21/05/2026,Rwampara,,MVE_SitRep_007_2026-05-22,36,0,6,6,42,
21/05/2026,Mongbwalu,,MVE_SitRep_007_2026-05-22,27,0,9,9,36,
21/05/2026,Nyankunde,,MVE_SitRep_007_2026-05-22,16,7,0,7,23,
22/05/2026,Bunia,,MVE_SitRep_008_2026-05-23,33,3,8,11,44,
22/05/2026,Rwampara,,MVE_SitRep_008_2026-05-23,34,1,10,11,45,
22/05/2026,Mongbwalu,,MVE_SitRep_008_2026-05-23,30,0,4,4,34,
22/05/2026,Nyankunde,,MVE_SitRep_008_2026-05-23,22,1,1,2,24,
22/05/2026,Total,,MVE_SitRep_008_2026-05-23,119,5,23,28,147,
23/05/2026,Bunia,,MVE_SitRep_009_2026-05-24,41,3,6,9,50,112
23/05/2026,Rwampara,,MVE_SitRep_009_2026-05-24,21,2,2,4,25,54
23/05/2026,Mongbwalu,,MVE_SitRep_009_2026-05-24,28,0,3,3,31,65
23/05/2026,Nyankunde,,MVE_SitRep_009_2026-05-24,26,3,4,7,33,36
23/05/2026,Aru,,MVE_SitRep_009_2026-05-24,2,0,0,2,2,3
24/05/2026,Bunia,,MVE_SitRep_010_2026-05-25,44,3,6,9,53,118
24/05/2026,Rwampara,,MVE_SitRep_010_2026-05-25,19,2,4,6,25,54
24/05/2026,Mongbwalu,,MVE_SitRep_010_2026-05-25,13,0,5,5,18,70
24/05/2026,Nyankunde,,MVE_SitRep_010_2026-05-25,33,0,0,0,33,36
24/05/2026,Bambu,,MVE_SitRep_010_2026-05-25,2,0,0,0,2,0
24/05/2026,Aru,,MVE_SitRep_010_2026-05-25,2,0,0,0,2,3
27/05/2026,Bunia,,MVE_SitRep_013_2026-05-28,14,0,2,,12,
27/05/2026,Rwampara,,MVE_SitRep_013_2026-05-28,8,0,2,,9,
27/05/2026,CME,,MVE_SitRep_013_2026-05-28,22,0,5,,26,
27/05/2026,Mongbwalu,,MVE_SitRep_013_2026-05-28,10,1,1,,9,
27/05/2026,Nyakunde,,MVE_SitRep_013_2026-05-28,39,0,0,,38,
27/05/2026,Bambu,,MVE_SitRep_013_2026-05-28,6,0,3,,9,
27/05/2026,CT Heal Africa (Nord-Kivu),,MVE_SitRep_013_2026-05-28,2,0,0,,0,
28/05/2026,Bunia,,MVE_SitRep_014_2026-05-30,14,0,2,,12,
28/05/2026,Rwampara,,MVE_SitRep_014_2026-05-30,8,0,2,,9,
28/05/2026,CME,,MVE_SitRep_014_2026-05-30,22,0,5,,26,
28/05/2026,Mongbwalu,,MVE_SitRep_014_2026-05-30,10,1,1,,9,
28/05/2026,Nyakunde,,MVE_SitRep_014_2026-05-30,39,0,0,,38,
28/05/2026,Bambu,,MVE_SitRep_014_2026-05-30,6,0,3,,9,
28/05/2026,Heal Africa (Nord-Kivu),,MVE_SitRep_014_2026-05-30,2,0,0,,0,
29/05/2026,Bunia,,MVE_SitRep_015_2026-05-29,18,0,2,,17,
29/05/2026,Rwampara,,MVE_SitRep_015_2026-05-29,9,1,4,,13,
29/05/2026,CME,,MVE_SitRep_015_2026-05-29,8,1,1,,9,
29/05/2026,Mongbwalu,,MVE_SitRep_015_2026-05-29,12,0,4,,11,
