date,zone,province,sitrep_source,in_bed_previous_day,new_admissions_ppl,new_admissions_other,total_admissions,total_isolated,cumulative_admitted
20/05/2026,Bunia,,MVE_SitRep_006_2026-05-21,28,0,12,12,40,
20/05/2026,Rwampara,,MVE_SitRep_006_2026-05-21,37,5,12,17,54,
20/05/2026,Mongbwalu,,MVE_SitRep_006_2026-05-21,21,0,9,9,30,
20/05/2026,Nyankunde,,MVE_SitRep_006_2026-05-21,15,1,0,1,16,
21/05/2026,Bunia,,MVE_SitRep_007_2026-05-22,36,1,13,14,50,
21/05/2026,Rwampara,,MVE_SitRep_007_2026-05-22,36,0,6,6,42,
21/05/2026,Mongbwalu,,MVE_SitRep_007_2026-05-22,27,0,9,9,36,
21/05/2026,Nyankunde,,MVE_SitRep_007_2026-05-22,16,7,0,7,23,
22/05/2026,Bunia,,MVE_SitRep_008_2026-05-23,33,3,8,11,44,
22/05/2026,Rwampara,,MVE_SitRep_008_2026-05-23,34,1,10,11,45,
22/05/2026,Mongbwalu,,MVE_SitRep_008_2026-05-23,30,0,4,4,34,
22/05/2026,Nyankunde,,MVE_SitRep_008_2026-05-23,22,1,1,2,24,
22/05/2026,Total,,MVE_SitRep_008_2026-05-23,119,5,23,28,147,
23/05/2026,Bunia,,MVE_SitRep_009_2026-05-24,41,3,6,9,50,112
23/05/2026,Rwampara,,MVE_SitRep_009_2026-05-24,21,2,2,4,25,54
23/05/2026,Mongbwalu,,MVE_SitRep_009_2026-05-24,28,0,3,3,31,65
23/05/2026,Nyankunde,,MVE_SitRep_009_2026-05-24,26,3,4,7,33,36
23/05/2026,Aru,,MVE_SitRep_009_2026-05-24,2,0,0,2,2,3
24/05/2026,Bunia,,MVE_SitRep_010_2026-05-25,44,3,6,9,53,118
24/05/2026,Rwampara,,MVE_SitRep_010_2026-05-25,19,2,4,6,25,54
24/05/2026,Mongbwalu,,MVE_SitRep_010_2026-05-25,13,0,5,5,18,70
24/05/2026,Nyankunde,,MVE_SitRep_010_2026-05-25,33,0,0,0,33,36
24/05/2026,Bambu,,MVE_SitRep_010_2026-05-25,2,0,0,0,2,0
24/05/2026,Aru,,MVE_SitRep_010_2026-05-25,2,0,0,0,2,3
