count_start_date,count_end_date,count_type,cases_suspect,cases_probable,cases_confirmed,deaths_suspected,deaths_probable,deaths_confirmed,contacts,zone,province,sitrep_source,is_aggregate
22/05/2026,22/05/2026,Nouveaux,32,,6,,,1,87,Bunia,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
22/05/2026,22/05/2026,Nouveaux,14,,7,,,1,0,Rwampara,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
22/05/2026,22/05/2026,Nouveaux,10,,1,,,0,0,Mongbwalu,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
22/05/2026,22/05/2026,Nouveaux,2,,0,,,0,48,Bambu,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
22/05/2026,22/05/2026,Nouveaux,9,,2,,,0,207,Nyankunde,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
22/05/2026,22/05/2026,Nouveaux,1,,1,,,0,,Nizi,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
22/05/2026,22/05/2026,Nouveaux,1,,1,,,0,,Kilo,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
22/05/2026,22/05/2026,Nouveaux,70,0,18,,,2,342,,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,TRUE
22/05/2026,22/05/2026,Nouveaux,,,0,,,0,,Goma,Nord-Kivu,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
22/05/2026,22/05/2026,Nouveaux,,,0,,,0,,Butembo,Nord-Kivu,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
22/05/2026,22/05/2026,Nouveaux,,,0,,,0,,Katwa,Nord-Kivu,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
22/05/2026,22/05/2026,Nouveaux,,,1,,,1,,Miti Murhesa,Sud-Kivu,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
22/05/2026,22/05/2026,Nouveaux,0,0,1,,,1,0,,Sud-Kivu,Draft_SitRep_MVE_RDC_2022vf2_IM,TRUE
22/05/2026,22/05/2026,Nouveaux,70,0,19,,,3,342,Total,,Draft_SitRep_MVE_RDC_2022vf2_IM,TRUE
,22/05/2026,Cumules,339,,10,,88,,222,Mongbwalu,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
,22/05/2026,Cumules,221,,32,,63,,621,Rwampara,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
,22/05/2026,Cumules,227,,23,,42,,290,Bunia,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
,22/05/2026,Cumules,45,,9,,8,,365,Nyankunde,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
,22/05/2026,Cumules,6,,1,,2,,176,Kilo,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
,22/05/2026,Cumules,5,,2,,1,,0,Nizi,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
,22/05/2026,Cumules,3,,1,,0,,0,ARU,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
,22/05/2026,Cumules,0,,6,,0,,0,Echantillons sans fiche,Ituri,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
,22/05/2026,Cumules,,,1,,0,,,Goma,Nord-Kivu,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
,22/05/2026,Cumules,13,,3,,0,,,Katwa,Nord-Kivu,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
,22/05/2026,Cumules,7,,2,,0,,,Butembo,Nord-Kivu,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
,22/05/2026,Cumules,1,,1,,0,,,Miti Murhesa,Sud-Kivu,Draft_SitRep_MVE_RDC_2022vf2_IM,FALSE
,22/05/2026,Cumules,867,,91,,204,,1674,Total,,Draft_SitRep_MVE_RDC_2022vf2_IM,TRUE
